lon,lat,type,a
-89.1,35.7,GR,0.13566000
-91.1,35.8,GR,0.16860000
-91.0,35.8,GR,0.17824000
-90.9,35.8,GR,0.18919000
-90.8,35.8,GR,0.21217000
-90.7,35.8,GR,0.27132000
-90.6,35.8,GR,0.41091000
-90.5,35.8,GR,0.63689000
-90.4,35.8,GR,0.86988000
-90.3,35.8,GR,1.1720000
-90.2,35.8,GR,1.7146000
-90.1,35.8,GR,2.7636000
-90.0,35.8,GR,4.0661000
-89.9,35.8,GR,4.7552000
-89.8,35.8,GR,3.8174000
-89.7,35.8,GR,2.1154000
-89.6,35.8,GR,1.2888000
-89.5,35.8,GR,1.1719000
-89.4,35.8,GR,1.0358000
-89.3,35.8,GR,0.63471000
-89.2,35.8,GR,0.30476000
-89.1,35.8,GR,0.17686000
-89.0,35.8,GR,0.14035000
-88.9,35.8,GR,0.12116000
-91.1,35.9,GR,0.20082000
-91.0,35.9,GR,0.21155000
-90.9,35.9,GR,0.21977000
-90.8,35.9,GR,0.23144000
-90.7,35.9,GR,0.25690000
-90.6,35.9,GR,0.30861000
-90.5,35.9,GR,0.39778000
-90.4,35.9,GR,0.53584000
-90.3,35.9,GR,0.73545000
-90.2,35.9,GR,0.97203000
-90.1,35.9,GR,1.5298000
-90.0,35.9,GR,6.8704000
-89.9,35.9,GR,10.411000
-89.8,35.9,GR,7.0936000
-89.7,35.9,GR,3.7967000
-89.6,35.9,GR,2.4076000
-89.5,35.9,GR,2.7604000
-89.4,35.9,GR,2.7603000
-89.3,35.9,GR,1.6522000
-89.2,35.9,GR,0.62750000
-89.1,35.9,GR,0.24553000
-89.0,35.9,GR,0.16532000
-88.9,35.9,GR,0.14111000
-88.8,35.9,GR,0.12089000
-91.0,36.0,GR,0.24310000
-90.9,36.0,GR,0.24931000
-90.8,36.0,GR,0.25145000
-90.7,36.0,GR,0.25546000
-90.6,36.0,GR,0.27130000
-90.5,36.0,GR,0.31259000
-90.4,36.0,GR,0.39069000
-90.3,36.0,GR,0.49633000
-90.2,36.0,GR,0.58504000
-90.1,36.0,GR,0.81189000
-90.0,36.0,GR,5.3121000
-89.9,36.0,GR,8.0539000
-89.8,36.0,GR,5.6375000
-89.7,36.0,GR,7.0925000
-89.6,36.0,GR,6.6774000
-89.5,36.0,GR,4.7843000
-89.4,36.0,GR,5.3281000
-89.3,36.0,GR,3.3121000
-89.2,36.0,GR,1.0232000
-89.1,36.0,GR,0.34116000
-89.0,36.0,GR,0.19252000
-88.9,36.0,GR,0.15682000
-88.8,36.0,GR,0.13449000
-88.7,36.0,GR,0.11466000
-90.9,36.1,GR,0.27875000
-90.8,36.1,GR,0.27662000
-90.7,36.1,GR,0.26804000
-90.6,36.1,GR,0.26065000
-90.5,36.1,GR,0.26701000
-90.4,36.1,GR,0.29786000
-90.3,36.1,GR,0.34673000
-90.2,36.1,GR,0.38286000
-90.1,36.1,GR,0.38411000
-90.0,36.1,GR,0.46281000
-89.9,36.1,GR,0.82310000
-89.8,36.1,GR,1.8600000
-89.7,36.1,GR,9.9208000
-89.6,36.1,GR,12.067000
-89.5,36.1,GR,6.7698000
-89.4,36.1,GR,11.398000
-89.3,36.1,GR,9.2168000
-89.2,36.1,GR,1.5446000
-89.1,36.1,GR,0.57282000
-89.0,36.1,GR,0.25495000
-88.9,36.1,GR,0.17839000
-88.8,36.1,GR,0.14877000
-88.7,36.1,GR,0.12828000
-88.6,36.1,GR,0.11156000
-88.5,36.1,GR,0.097534000
-90.8,36.2,GR,0.30846000
-90.7,36.2,GR,0.29578000
-90.6,36.2,GR,0.27552000
-90.5,36.2,GR,0.25680000
-90.4,36.2,GR,0.24993000
-90.3,36.2,GR,0.25821000
-90.2,36.2,GR,0.27263000
-90.1,36.2,GR,0.28110000
-90.0,36.2,GR,0.29634000
-89.9,36.2,GR,0.38463000
-89.8,36.2,GR,0.92693000
-89.7,36.2,GR,5.7390000
-89.6,36.2,GR,7.8476000
-89.5,36.2,GR,9.8809000
-89.4,36.2,GR,13.914000
-89.3,36.2,GR,7.8467000
-89.2,36.2,GR,1.4993000
-89.1,36.2,GR,0.69878000
-89.0,36.2,GR,0.33186000
-88.9,36.2,GR,0.21860000
-88.8,36.2,GR,0.17489000
-88.7,36.2,GR,0.14978000
-88.6,36.2,GR,0.13172000
-88.5,36.2,GR,0.11718000
-88.4,36.2,GR,0.10419000
-90.7,36.3,GR,0.34088000
-90.6,36.3,GR,0.31807000
-90.5,36.3,GR,0.28779000
-90.4,36.3,GR,0.26290000
-90.3,36.3,GR,0.25895000
-90.2,36.3,GR,0.28843000
-90.1,36.3,GR,0.35906000
-90.0,36.3,GR,0.48458000
-89.9,36.3,GR,0.69397000
-89.8,36.3,GR,0.99819000
-89.7,36.3,GR,1.6343000
-89.6,36.3,GR,3.0506000
-89.5,36.3,GR,17.549000
-89.4,36.3,GR,16.309000
-89.3,36.3,GR,1.3443000
-89.2,36.3,GR,0.97106000
-89.1,36.3,GR,0.61389000
-89.0,36.3,GR,0.39247000
-88.9,36.3,GR,0.28376000
-88.8,36.3,GR,0.22467000
-88.7,36.3,GR,0.18758000
-88.6,36.3,GR,0.16278000
-88.5,36.3,GR,0.14498000
-88.4,36.3,GR,0.12991000
-88.3,36.3,GR,0.11495000
-90.6,36.4,GR,0.39562000
-90.5,36.4,GR,0.37199000
-90.4,36.4,GR,0.35777000
-90.3,36.4,GR,0.36223000
-90.2,36.4,GR,0.41384000
-90.1,36.4,GR,0.56362000
-90.0,36.4,GR,0.85004000
-89.9,36.4,GR,1.2829000
-89.8,36.4,GR,1.9071000
-89.7,36.4,GR,3.8962000
-89.6,36.4,GR,10.854000
-89.5,36.4,GR,22.080000
-89.4,36.4,GR,15.260000
-89.3,36.4,GR,1.9071000
-89.2,36.4,GR,0.99316000
-89.1,36.4,GR,0.61998000
-89.0,36.4,GR,0.47180000
-88.9,36.4,GR,0.37578000
-88.8,36.4,GR,0.29998000
-88.7,36.4,GR,0.24347000
-88.6,36.4,GR,0.20561000
-88.5,36.4,GR,0.18087000
-88.4,36.4,GR,0.16200000
-88.3,36.4,GR,0.14384000
-88.2,36.4,GR,0.12449000
-88.1,36.4,GR,0.10441000
-90.5,36.5,GR,0.66991000
-90.4,36.5,GR,0.99633000
-90.3,36.5,GR,1.0674000
-90.2,36.5,GR,0.81759000
-90.1,36.5,GR,0.76694000
-90.0,36.5,GR,1.0412000
-89.9,36.5,GR,1.5283000
-89.8,36.5,GR,2.4030000
-89.7,36.5,GR,5.5923000
-89.6,36.5,GR,14.039000
-89.5,36.5,GR,15.015000
-89.4,36.5,GR,6.9180000
-89.3,36.5,GR,2.6875000
-89.2,36.5,GR,1.2600000
-89.1,36.5,GR,0.72649000
-89.0,36.5,GR,0.57253000
-88.9,36.5,GR,0.47738000
-88.8,36.5,GR,0.38564000
-88.7,36.5,GR,0.30866000
-88.6,36.5,GR,0.25519000
-88.5,36.5,GR,0.22135000
-88.4,36.5,GR,0.19748000
-88.3,36.5,GR,0.17559000
-88.2,36.5,GR,0.15218000
-88.1,36.5,GR,0.12736000
-88.0,36.5,GR,0.10293000
-90.5,36.6,GR,1.5333000
-90.4,36.6,GR,3.2278000
-90.3,36.6,GR,3.5557000
-90.2,36.6,GR,2.0351000
-90.1,36.6,GR,1.0098000
-90.0,36.6,GR,0.93527000
-89.9,36.6,GR,1.2607000
-89.8,36.6,GR,1.9993000
-89.7,36.6,GR,4.0620000
-89.6,36.6,GR,6.8639000
-89.5,36.6,GR,6.2091000
-89.4,36.6,GR,4.3993000
-89.3,36.6,GR,3.3746000
-89.2,36.6,GR,1.7013000
-89.1,36.6,GR,0.97212000
-89.0,36.6,GR,0.71575000
-88.9,36.6,GR,0.59494000
-88.8,36.6,GR,0.48991000
-88.7,36.6,GR,0.39046000
-88.6,36.6,GR,0.31516000
-88.5,36.6,GR,0.26668000
-88.4,36.6,GR,0.23440000
-88.3,36.6,GR,0.20714000
