lon,lat,type,a
-90.4,35.500000,GR,1.2960000
-90.3,35.500000,GR,1.3390000
-90.2,35.500000,GR,1.3630000
-90.1,35.500000,GR,1.3690000
-90.0,35.500000,GR,1.3580000
-89.9,35.500000,GR,1.3300000
-89.8,35.500000,GR,1.2850000
-89.7,35.500000,GR,1.2260000
-89.6,35.500000,GR,1.1530000
-89.5,35.500000,GR,1.0700000
-89.4,35.500000,GR,0.97930000
-89.3,35.500000,GR,0.88410000
-91.3,35.600000,GR,0.57640000
-91.2,35.600000,GR,0.65510000
-91.1,35.600000,GR,0.74380000
-91.0,35.600000,GR,0.83900000
-90.9,35.600000,GR,0.93790000
-90.8,35.600000,GR,1.0350000
-90.7,35.600000,GR,1.1290000
-90.6,35.600000,GR,1.2140000
-90.5,35.600000,GR,1.2870000
-90.4,35.600000,GR,1.3470000
-90.3,35.600000,GR,1.3920000
-90.2,35.600000,GR,1.4200000
-90.1,35.600000,GR,1.4330000
-90.0,35.600000,GR,1.4290000
-89.9,35.600000,GR,1.4080000
-89.8,35.600000,GR,1.3730000
-89.7,35.600000,GR,1.3230000
-89.6,35.600000,GR,1.2600000
-89.5,35.600000,GR,1.1840000
-89.4,35.600000,GR,1.1000000
-89.3,35.600000,GR,1.0080000
-89.2,35.600000,GR,0.91300000
-91.2,35.700000,GR,0.71230000
-91.1,35.700000,GR,0.79800000
-91.0,35.700000,GR,0.88850000
-90.9,35.700000,GR,0.98050000
-90.8,35.700000,GR,1.0730000
-90.7,35.700000,GR,1.1600000
-90.6,35.700000,GR,1.2420000
-90.5,35.700000,GR,1.3140000
-90.4,35.700000,GR,1.3740000
-90.3,35.700000,GR,1.4210000
-90.2,35.700000,GR,1.4540000
-90.1,35.700000,GR,1.4720000
-90.0,35.700000,GR,1.4760000
-89.9,35.700000,GR,1.4660000
-89.8,35.700000,GR,1.4410000
-89.7,35.700000,GR,1.4020000
-89.6,35.700000,GR,1.3500000
-89.5,35.700000,GR,1.2860000
-89.4,35.700000,GR,1.2110000
-89.3,35.700000,GR,1.1270000
-89.2,35.700000,GR,1.0360000
-89.1,35.700000,GR,0.94270000
-91.1,35.800000,GR,0.84460000
-91.0,35.800000,GR,0.92530000
-90.9,35.800000,GR,1.0080000
-90.8,35.800000,GR,1.0910000
-90.7,35.800000,GR,1.1710000
-90.6,35.800000,GR,1.2470000
-90.5,35.800000,GR,1.3170000
-90.4,35.800000,GR,1.3770000
-90.3,35.800000,GR,1.4270000
-90.2,35.800000,GR,1.4650000
-90.1,35.800000,GR,1.4900000
-90.0,35.800000,GR,1.5020000
-89.9,35.800000,GR,1.5020000
-89.8,35.800000,GR,1.4890000
-89.7,35.800000,GR,1.4610000
-89.6,35.800000,GR,1.4230000
-89.5,35.800000,GR,1.3700000
-89.4,35.800000,GR,1.3080000
-89.3,35.800000,GR,1.2350000
-89.2,35.800000,GR,1.1530000
-89.1,35.800000,GR,1.0650000
-89.0,35.800000,GR,0.97380000
-88.9,35.800000,GR,0.88130000
-91.1,35.900000,GR,0.87790000
-91.0,35.900000,GR,0.94730000
-90.9,35.900000,GR,1.0180000
-90.8,35.900000,GR,1.0900000
-90.7,35.900000,GR,1.1620000
-90.6,35.900000,GR,1.2320000
-90.5,35.900000,GR,1.2980000
-90.4,35.900000,GR,1.3590000
-90.3,35.900000,GR,1.4120000
-90.2,35.900000,GR,1.4550000
-90.1,35.900000,GR,1.4870000
-90.0,35.900000,GR,1.5090000
-89.9,35.900000,GR,1.5180000
-89.8,35.900000,GR,1.5170000
-89.7,35.900000,GR,1.5020000
-89.6,35.900000,GR,1.4760000
-89.5,35.900000,GR,1.4380000
-89.4,35.900000,GR,1.3880000
-89.3,35.900000,GR,1.3280000
-89.2,35.900000,GR,1.2580000
-89.1,35.900000,GR,1.1790000
-89.0,35.900000,GR,1.0950000
-88.9,35.900000,GR,1.0050000
-88.8,35.900000,GR,0.91360000
-91.0,36.000000,GR,0.95220000
-90.9,36.000000,GR,1.0100000
-90.8,36.000000,GR,1.0710000
-90.7,36.000000,GR,1.1340000
-90.6,36.000000,GR,1.1980000
-90.5,36.000000,GR,1.2610000
-90.4,36.000000,GR,1.3220000
-90.3,36.000000,GR,1.3780000
-90.2,36.000000,GR,1.4260000
-90.1,36.000000,GR,1.4670000
-90.0,36.000000,GR,1.4970000
-89.9,36.000000,GR,1.5170000
-89.8,36.000000,GR,1.5260000
-89.7,36.000000,GR,1.5250000
-89.6,36.000000,GR,1.5120000
-89.5,36.000000,GR,1.4880000
-89.4,36.000000,GR,1.4520000
-89.3,36.000000,GR,1.4050000
-89.2,36.000000,GR,1.3480000
-89.1,36.000000,GR,1.2810000
-89.0,36.000000,GR,1.2050000
-88.9,36.000000,GR,1.1220000
-88.8,36.000000,GR,1.0350000
-88.7,36.000000,GR,0.94270000
-90.9,36.100000,GR,0.98690000
-90.8,36.100000,GR,1.0380000
-90.7,36.100000,GR,1.0920000
-90.6,36.100000,GR,1.1500000
-90.5,36.100000,GR,1.2100000
-90.4,36.100000,GR,1.2700000
-90.3,36.100000,GR,1.3280000
-90.2,36.100000,GR,1.3820000
-90.1,36.100000,GR,1.4290000
-90.0,36.100000,GR,1.4690000
-89.9,36.100000,GR,1.4990000
-89.8,36.100000,GR,1.5200000
-89.7,36.100000,GR,1.5300000
-89.6,36.100000,GR,1.5300000
-89.5,36.100000,GR,1.5190000
-89.4,36.100000,GR,1.4970000
-89.3,36.100000,GR,1.4640000
-89.2,36.100000,GR,1.4200000
-89.1,36.100000,GR,1.3660000
-89.0,36.100000,GR,1.3020000
-88.9,36.100000,GR,1.2290000
-88.8,36.100000,GR,1.1480000
-88.7,36.100000,GR,1.0600000
-88.6,36.100000,GR,0.96630000
-88.5,36.100000,GR,0.86870000
-90.8,36.200000,GR,0.99420000
-90.7,36.200000,GR,1.0410000
-90.6,36.200000,GR,1.0930000
-90.5,36.200000,GR,1.1500000
-90.4,36.200000,GR,1.2080000
-90.3,36.200000,GR,1.2670000
-90.2,36.200000,GR,1.3240000
-90.1,36.200000,GR,1.3780000
-90.0,36.200000,GR,1.4260000
-89.9,36.200000,GR,1.4660000
-89.8,36.200000,GR,1.4980000
-89.7,36.200000,GR,1.5190000
-89.6,36.200000,GR,1.5320000
-89.5,36.200000,GR,1.5330000
-89.4,36.200000,GR,1.5250000
-89.3,36.200000,GR,1.5060000
-89.2,36.200000,GR,1.4750000
-89.1,36.200000,GR,1.4350000
-89.0,36.200000,GR,1.3830000
-88.9,36.200000,GR,1.3220000
-88.8,36.200000,GR,1.2490000
-88.7,36.200000,GR,1.1680000
-88.6,36.200000,GR,1.0780000
-88.5,36.200000,GR,0.98110000
-88.4,36.200000,GR,0.87880000
-90.7,36.300000,GR,0.98800000
-90.6,36.300000,GR,1.0350000
-90.5,36.300000,GR,1.0860000
-90.4,36.300000,GR,1.1420000
-90.3,36.300000,GR,1.2000000
-90.2,36.300000,GR,1.2590000
-90.1,36.300000,GR,1.3160000
-90.0,36.300000,GR,1.3710000
-89.9,36.300000,GR,1.4200000
-89.8,36.300000,GR,1.4610000
-89.7,36.300000,GR,1.4940000
-89.6,36.300000,GR,1.5180000
-89.5,36.300000,GR,1.5320000
-89.4,36.300000,GR,1.5360000
-89.3,36.300000,GR,1.5300000
-89.2,36.300000,GR,1.5130000
-89.1,36.300000,GR,1.4860000
-89.0,36.300000,GR,1.4470000
-88.9,36.300000,GR,1.3970000
-88.8,36.300000,GR,1.3360000
-88.7,36.300000,GR,1.2630000
-88.6,36.300000,GR,1.1790000
-88.5,36.300000,GR,1.0860000
